호선,역사명,미세먼지(PM10),이산화탄소(CO2),포름알데히드(HCHO),일산화탄소(CO),avg_congestion,freq
5,장한평,84.3,622,9.5,1.1,29.405289905289905,438.0
5,군자,88.5,679,13.4,1.2,32.55100485100485,438.0
5,아차산,62.0,545,8.6,0.9,34.904331254331254,438.0
5,광나루,73.9,554,11.9,0.9,33.500693000693,438.0
5,천호,69.8,546,11.8,1.1,29.774393624393625,438.0
5,강동,76.7,611,12.3,1.0,20.571228921228922,438.0
5,길동,85.5,573,7.8,0.9,26.9488218988219,438.0
5,굽은다리,66.9,624,9.3,0.9,22.334961884961885,438.0
5,명일,71.6,619,7.1,1.0,16.944051744051745,438.0
5,고덕,80.3,631,6.3,1.0,11.520328020328021,438.0
5,상일동,90.3,625,9.4,0.9,4.401570801570802,438.0
5,둔촌동,83.7,638,11.5,1.0,23.03878493878494,438.0
5,올림픽공원,84.6,654,7.9,1.1,,438.0
5,방이,91.3,633,8.4,1.1,18.27154077154077,438.0
5,오금,68.8,619,10.2,1.1,15.462762762762765,438.0
5,개롱,68.2,616,8.9,0.9,11.173180873180874,438.0
5,거여,77.0,669,12.9,1.2,5.968526218526218,438.0
5,마천,76.1,598,14.7,1.0,1.7629591129591133,438.0
6,응암,73.2,451,7.4,0.9,18.056687456687456,330.0
6,역촌,84.0,443,9.6,0.8,12.449497574497574,330.0
6,불광,90.7,479,9.6,0.9,7.439483714483716,330.0
6,독바위,96.5,453,12.4,0.8,7.243762993762994,330.0
6,연신내,79.3,502,12.6,0.9,11.74475051975052,330.0
6,구산,76.6,486,12.8,1.0,12.370183645183644,330.0
6,새절,87.4,568,9.5,0.8,20.9997227997228,330.0
6,증산,82.8,501,33.3,0.9,23.648925848925852,330.0
6,디지털미디어시티,72.6,441,17.1,0.8,24.76285516285516,330.0
6,월드컵경기장,95.0,431,8.8,0.9,24.64147609147609,330.0
6,마포구청,92.7,465,9.9,1.0,26.388831138831137,330.0
6,망원,96.4,497,12.5,1.2,29.15075075075075,330.0
6,합정,85.7,501,10.0,1.2,25.48258258258258,330.0
6,상수,101.6,519,12.7,1.4,19.621575421575425,330.0
6,광흥창,89.5,489,10.0,1.2,19.814010164010163,330.0
6,대흥,101.3,532,10.6,1.3,20.09326634326634,330.0
6,공덕,116.2,498,12.9,0.9,22.419323169323167,330.0
6,효창공원앞,106.9,473,9.7,1.1,24.534141834141835,330.0
6,삼각지,103.6,492,10.0,0.8,23.91149226149226,330.0
6,녹사평,92.0,469,10.6,1.0,22.588911988911992,330.0
6,이태원,112.6,507,11.8,1.1,21.93708708708709,330.0
6,한강진,93.8,431,11.5,0.9,21.623019173019173,330.0
6,버티고개,116.2,499,10.9,1.1,21.81597366597366,330.0
6,약수,114.9,542,9.1,1.1,23.34728574728575,330.0
6,청구,74.3,490,10.8,1.6,24.58023793023793,330.0
6,신당,67.9,496,26.6,1.3,26.565453915453915,330.0
6,동묘앞,61.3,508,11.3,1.5,28.99159159159159,330.0
6,창신,93.9,490,11.6,1.1,29.113363363363362,330.0
6,보문,74.7,539,12.6,1.3,27.83869253869254,330.0
6,안암,67.9,555,11.2,1.4,24.833968583968584,330.0
6,고려대,64.1,472,16.2,0.8,21.613594363594363,330.0
6,월곡,76.3,486,11.3,1.0,20.10024255024255,330.0
6,상월곡,86.7,517,20.0,1.1,17.272961422961423,330.0
6,돌곶이,70.1,506,10.4,1.0,16.146477246477247,330.0
6,석계,86.7,478,22.4,0.9,15.456248556248555,330.0
6,태릉입구,83.6,492,10.1,1.0,11.5513629013629,330.0
6,화랑대,67.7,474,11.3,0.8,6.007472857472858,330.0
6,봉화산,73.9,477,8.3,0.8,1.8255717255717254,330.0
7,수락산,93.0,610,14.2,1.0,11.547828597828598,420.0
7,마들,80.2,629,14.3,1.0,15.014991914991915,420.0
7,노원,76.5,673,10.5,1.1,19.730896280896282,420.0
7,중계,76.6,679,10.0,1.1,24.3031416031416,420.0
